source_name,destination_name,max_delay_ratio,total_breach_score,total_trips
Jaynagar_Wardno6_D (Bihar),Muzaffrpur_Bbganj_I (Bihar),8.976190476190476,167.5,21
Mumbai_Chndivli_PC (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),3.45,165.29561403508774,94
Bhiwandi_Mankoli_HB (Maharashtra),Mumbai Hub (Maharashtra),2.8,147.54999999999998,102
Mumbai Hub (Maharashtra),Mumbai_MiraRd_IP (Maharashtra),3.2222222222222223,139.11111111111111,72
Mumbai Hub (Maharashtra),Mumbai_CottonGreen_DPC (Maharashtra),4.283088235294118,128.23235294117646,58
Benipatti_WardNo1_D (Bihar),Muzaffrpur_Bbganj_I (Bihar),10.53125,123.90625,13
Bhiwandi_Mankoli_HB (Maharashtra),Mumbai_MiraRd_IP (Maharashtra),3.0,123.10637140637141,75
Mumbai Hub (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),3.8043478260869565,121.70956521739132,61
Bengaluru_KGAirprt_HB (Karnataka),Bengaluru_Bomsndra_HB (Karnataka),3.170779220779221,121.39569788503161,86
Bengaluru_Bomsndra_HB (Karnataka),Bengaluru_KGAirprt_HB (Karnataka),2.6213962690785753,116.68175192372364,121
Bangalore_Nelmngla_H (Karnataka),Bengaluru_KGAirprt_HB (Karnataka),2.1851615646258504,110.55215262700825,148
Bhopal_Old City (Madhya Pradesh),Bhopal_Trnsport_H (Madhya Pradesh),7.671428571428571,109.86813186813185,27
Pune_Tathawde_H (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),2.1514372739387015,105.76635337630198,104
Mumbai_Virar_DC (Maharashtra),Mumbai_MiraRd_IP (Maharashtra),6.767316017316017,103.83549783549783,22
Gurgaon_Bilaspur_HB (Haryana),Sonipat_Kundli_H (Haryana),2.3333333333333335,101.44308419243987,92
Mumbai Hub (Maharashtra),Mumbai_Sanpada_I (Maharashtra),2.8,99.83909774436088,64
LowerParel_CP (Maharashtra),Mumbai_Chndivli_PC (Maharashtra),3.0555555555555554,97.84795321637426,53
Jhanjharpur_Nagar_D (Bihar),Muzaffrpur_Bbganj_I (Bihar),8.48,97.24000000000001,13
Mumbai_MiraRd_IP (Maharashtra),Mumbai Hub (Maharashtra),6.375,95.875,29
Bhiwandi_Mankoli_HB (Maharashtra),Mumbai_Jogshwri_I (Maharashtra),3.1538461538461537,92.5664286687646,59
Bengaluru_KGAirprt_HB (Karnataka),Bangalore_Nelmngla_H (Karnataka),2.52,92.07708849577568,105
Jaipur_VarunCly_DC (Rajasthan),Jaipur_Central_I_7 (Rajasthan),5.75,90.25,19
Hyderabad_Alwal_L (Telangana),Hyderabad_Shamshbd_H (Telangana),3.5128205128205128,89.24179609473728,38
Midnapore_Talkui_D (West Bengal),Kolkata_Dankuni_HB (West Bengal),8.073655913978495,84.88387096774194,12
Raxaul_KairiyaT_D (Bihar),Muzaffrpur_Bbganj_I (Bihar),5.96875,84.46875,17
Bangalore_Nelmngla_H (Karnataka),Bengaluru_Bomsndra_HB (Karnataka),1.88,84.10230833004061,120
Kolkata_Dankuni_HB (West Bengal),CCU_Beliaghata_DPC (West Bengal),5.458498023715415,83.56408808582722,29
Mumbai_Jogshwri_I (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),4.90625,82.12479838709676,26
Kolkata_North_I_4 (West Bengal),Hooghly_DC (West Bengal),4.0,79.33333333333333,28
Sonipat_Kundli_H (Haryana),Gurgaon_Bilaspur_HB (Haryana),2.2244897959183674,78.95590153587209,86
Bhiwandi_Mankoli_HB (Maharashtra),Pune_Tathawde_H (Maharashtra),2.4105263157894736,78.88803827751195,67
Bhiwandi_Mankoli_HB (Maharashtra),Mumbai_CottonGreen_DPC (Maharashtra),3.1875,77.11894845282637,49
Kanpur_Central_H_6 (Uttar Pradesh),Kanpur_Rawatpur_D (Uttar Pradesh),5.6875,74.875,18
Mumbai_CottonGreen_DPC (Maharashtra),Mumbai Hub (Maharashtra),4.382352941176471,74.70588235294119,35
Ludhiana_MilrGanj_HB (Punjab),Chandigarh_Mehmdpur_H (Punjab),2.314516129032258,73.83712321523004,70
Durgapur_Central_I_1 (West Bengal),Kolkata_Dankuni_HB (West Bengal),7.622641509433962,72.84905660377359,11
Hyderabad_Chikdply_C (Telangana),Hyderabad_Shamshbd_P (Telangana),3.2739130434782613,72.76521739130436,32
Ahmedabad_Mithakal_D (Gujarat),Ahmedabad_East_H_1 (Gujarat),4.75,72.46212121212122,27
Dahanu_KetyDPP_D (Maharashtra),Boisar_OstwlEmp_D (Maharashtra),7.344827586206897,70.72413793103448,12
Gurgaon_Bilaspur_HB (Haryana),Chandigarh_Mehmdpur_H (Punjab),2.3160377358490565,69.21324778681928,57
Chincholi_Mainroad_D (Karnataka),Gulbarga_Nehrugnj_I (Karnataka),5.561538461538461,68.55384615384615,17
Chandigarh_Mehmdpur_H (Punjab),Gurgaon_Bilaspur_HB (Haryana),2.1800947867298577,68.08867860655842,65
Phalodi_PalikDPP_D (Rajasthan),Jodhpur_Basni_I (Rajasthan),5.859375,68.03125,14
MAA_Poonamallee_HB (Tamil Nadu),Chennai_Egmore_DPC (Tamil Nadu),4.205882352941177,67.82389073565544,31
Kolkata_Narynpur_C (West Bengal),Kolkata_Dankuni_P (West Bengal),4.2,67.2,21
Muktsar_DPC (Punjab),Ludhiana_MilrGanj_HB (Punjab),4.533333333333333,67.13333333333333,19
Delhi_Airport_H (Delhi),FBD_Balabhgarh_DPC (Haryana),3.433333333333333,66.40666666666667,46
CCU_Beleghta_CP (West Bengal),Kolkata_Dankuni_P (West Bengal),5.416666666666667,66.25,15
Bhiwandi_Mankoli_HB (Maharashtra),Mumbai_Sanpada_I (Maharashtra),3.608695652173913,66.13354037267081,43
Hyderabad_Bownplly_C (Telangana),Hyderabad_Shamshbd_P (Telangana),7.0,66.0,11
Mumbai_East_I_21 (Maharashtra),Mumbai_Ulhasngr_DC (Maharashtra),3.734848484848485,65.63636363636364,24
Gurgaon_Bilaspur_HB (Haryana),Noida_Sector63_L (Uttar Pradesh),3.345679012345679,65.54635396353117,38
Mumbai_Vasai_CP (Maharashtra),Mumbai_MiraRd_IP (Maharashtra),7.551587301587302,65.51587301587303,10
Kolkata_Dankuni_HB (West Bengal),CCU_DumDum_DPC (West Bengal),4.226006191950464,64.08978328173374,22
Bhiwandi_Mankoli_HB (Maharashtra),Mumbai_Tejpal_I (Maharashtra),3.375,61.875,37
Bhagalpur_Pbroad_DC (Bihar),Kahalgaon_NdiaTola_D (Bihar),5.909090909090909,60.719367588932805,18
Noida_Sector02_C (Uttar Pradesh),Del_Okhla_PC (Delhi),3.2777777777777777,60.230994152046776,34
MAA_Poonamallee_HB (Tamil Nadu),Chennai_Hub (Tamil Nadu),2.691341991341991,60.22570346320346,52
Aland_RazaviRd_D (Karnataka),Gulbarga_Nehrugnj_I (Karnataka),4.757309941520468,60.11695906432749,16
Bengaluru_Bomsndra_HB (Karnataka),Bangalore_Nelmngla_H (Karnataka),2.052631578947368,59.64494316599579,100
Gurgaon_Bilaspur_HB (Haryana),Faridabad_Mthurard_L (Haryana),2.515151515151515,58.2989921842863,57
Gurgaon_Bilaspur_HB (Haryana),Bangalore_Nelmngla_H (Karnataka),1.9244532803180914,57.838054783588476,65
Ragunthgnj_GopalDPP_D (West Bengal),Jangipur_Central_D_1 (West Bengal),4.611111111111111,57.77777777777777,16
Del_Okhla_PC (Delhi),Gurgaon_Bilaspur_HB (Haryana),2.066666666666667,57.50323237936464,74
Ranchi_Hub (Jharkhand),Bokaro_KSClny_DC (Jharkhand),4.333333333333333,56.666666666666664,17
Kaptanganj_Subshngr_D (Uttar Pradesh),Gorakhpur_Matriprm_IP (Uttar Pradesh),4.756756756756757,56.351351351351354,15
Kolkata_Dankuni_HB (West Bengal),Kolkata_TrtllaRD_L (West Bengal),3.3793103448275863,55.98339719029374,24
Mumbai_MiraRd_IP (Maharashtra),Nalasopara (Maharashtra),2.6666666666666665,55.15686274509804,36
Bengaluru_Bagaluru_D (Karnataka),HBR Layout PC (Karnataka),2.5384615384615383,54.920192307692304,39
Surat_Central_D_12 (Gujarat),Surat_Central_I_4 (Gujarat),8.823529411764707,54.76470588235294,7
Hyderabad_Shamshbd_H (Telangana),Hyderabad_Alwal_L (Telangana),2.9625,54.72105263157894,30
Hoogly_Bandel_D (West Bengal),Kolkata_North_I_4 (West Bengal),3.7666666666666666,54.53333333333333,23
Chennai_Hub (Tamil Nadu),Chennai_Madhavaram_DPC (Tamil Nadu),3.2,53.93928571428572,42
