Hub,Betweenness_Centrality,In_Degree,Out_Degree,PageRank,Clustering_Coefficient,Total_Degree
Gurgaon_Bilaspur_HB (Haryana),0.12652501242640135,56,63,0.013179779818570408,0.03768115942028986,119
Bangalore_Nelmngla_H (Karnataka),0.06890490064940576,46,51,0.01200356414137188,0.06050420168067227,97
Hyderabad_Shamshbd_H (Telangana),0.04912570668843476,34,27,0.017189251291684176,0.040998217468805706,61
Pune_Tathawde_H (Maharashtra),0.041015880200061694,24,30,0.007758871424214983,0.07142857142857142,54
Kolkata_Dankuni_HB (West Bengal),0.02953442416258178,16,26,0.006224997276854468,0.023391812865497075,42
Sonipat_Kundli_H (Haryana),0.02872148831244755,18,16,0.005575805772925169,0.05263157894736842,34
Chandigarh_Mehmdpur_H (Punjab),0.026632909960114283,29,26,0.00950693627789643,0.029556650246305417,55
Bhiwandi_Mankoli_HB (Maharashtra),0.026041561429527824,37,58,0.008709878723363946,0.059770114942528735,95
MAA_Poonamallee_HB (Tamil Nadu),0.024565884173816055,18,27,0.005767471700863715,0.04285714285714286,45
Ahmedabad_East_H_1 (Gujarat),0.02219240783920708,20,19,0.0049704325202647925,0.030303030303030304,39
Muzaffrpur_Bbganj_I (Bihar),0.01879383758255643,8,11,0.006535323926718733,0.026143790849673203,19
Jaipur_Hub (Rajasthan),0.016725464760881013,6,7,0.001725705580884405,0.08888888888888889,13
Delhi_Airport_H (Delhi),0.016433831601719354,13,17,0.0037356900576106977,0.06842105263157895,30
Purnia_Central_H_2 (Bihar),0.012874290617494488,3,6,0.0019389188913612415,0.07142857142857142,9
Kurnool_AbbasNgr_I (Andhra Pradesh),0.011793968244988018,5,5,0.0025881553985186204,0.03571428571428571,10
Aluva_Peedika_H (Kerala),0.011791274174233637,9,8,0.003345370996058094,0.02564102564102564,17
Kanpur_Central_H_6 (Uttar Pradesh),0.011501661568137764,9,20,0.0023623159914030333,0.026143790849673203,29
Baharampur_Chuanpur_I (West Bengal),0.010537184238069644,5,3,0.0017208423720786415,0.0,8
Bhopal_Trnsport_H (Madhya Pradesh),0.010026657830114593,10,7,0.0028171085552503345,0.12121212121212122,17
Hubli_Adargchi_IP (Karnataka),0.009501987550699044,5,6,0.0030750584450283595,0.027777777777777776,11
Anantapur_KamaStrt_I (Andhra Pradesh),0.009033219239436886,5,4,0.0025840829483166354,0.06666666666666667,9
Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),0.009027831097928124,4,5,0.001882061393715494,0.07142857142857142,9
Rampur_RoshnBgh_I (Uttar Pradesh),0.008693092806696383,4,7,0.0025331097877366346,0.0,11
Bhubaneshwar_Hub (Orissa),0.00861563827250795,5,6,0.0014767637611223618,0.23809523809523808,11
Udaipur_Mangri_I (Rajasthan),0.007140634534484779,4,4,0.0018304871812744553,0.047619047619047616,8
Durgapur_Central_I_1 (West Bengal),0.006882677259752873,5,3,0.0023631318807048295,0.0,8
Davangere_Central_I_1 (Karnataka),0.0067385444743935305,2,2,0.001738551703020429,0.0,4
Goa_Hub (Goa),0.0067095832137839435,4,3,0.001448930844070526,0.0,7
Guwahati_Hub (Assam),0.00648799589423617,9,5,0.0024003368947366484,0.0,14
Rudrapur_UdhamNgr_H (Uttarakhand),0.006449605385986252,4,4,0.003323416007402297,0.047619047619047616,8
Vijayawada_Rynapadu_H (Andhra Pradesh),0.0063869682409469115,6,4,0.002290012348504956,0.1111111111111111,10
Bengaluru_Bomsndra_HB (Karnataka),0.006074456033438806,23,31,0.005382849539343175,0.2909090909090909,54
Gulbarga_Nehrugnj_I (Karnataka),0.005982184110101284,4,3,0.0025228401488062288,0.0,7
Chitradurga_DC (Karnataka),0.005503986551198794,1,1,0.0005582085288453692,0.0,2
Hiriyur_TahurDPP_D (Karnataka),0.005467616596014661,1,1,0.0004009128417229765,0.0,2
Aurangabad_Central_H_1 (Maharashtra),0.005304625315374657,5,4,0.0023682645234643918,0.047619047619047616,9
Amroha_SamitiRd_D (Uttar Pradesh),0.005103917044173331,2,1,0.0006320309016426858,0.0,3
Ludhiana_MilrGanj_HB (Punjab),0.005062158947480438,8,8,0.003994417901105736,0.1388888888888889,16
Srikakulam_Kuslpram_I (Andhra Pradesh),0.0049476609404192785,3,3,0.0019178927704422686,0.0,6
Warangal_HunterRd_I (Telangana),0.004945640387353493,4,2,0.002110334624472359,0.0,6
Mehsana_Panchot_IP (Gujarat),0.00490927043216936,3,4,0.0018165513838443025,0.06666666666666667,7
Ongole_SubhVRTL_I (Andhra Pradesh),0.004597431742349849,2,3,0.0017665137020609126,0.16666666666666666,5
Villupuram_Thirumtr_IP (Tamil Nadu),0.004547591433393815,3,3,0.0018870924632711395,0.0,6
Nashik_TgrniaRD_I (Maharashtra),0.00454422384495084,2,2,0.0012356574208006858,0.0,4
Gajraula_JawaharN_D (Uttar Pradesh),0.004266734557249677,1,1,0.0004891447193201098,0.0,2
Ajmer_FoySGRRD_I (Rajasthan),0.004236426261262899,4,3,0.0019827168985047327,0.06666666666666667,7
Sasaram_Central_I_2 (Bihar),0.004158298209385873,3,4,0.0014122812350130245,0.06666666666666667,7
Pali_Nayagaon_I (Rajasthan),0.004132704537219261,2,3,0.0011562225747165308,0.3333333333333333,5
Zahirabad_Mohim_D (Telangana),0.003949507725921406,2,1,0.001115813937880243,0.0,3
Narayankhed_Datatrya_D (Telangana),0.003913137770737273,1,2,0.0010538457598898816,0.0,3
Bidar (Karnataka),0.00387676781555314,1,1,0.0009862646960196936,0.0,2
Humnabad_EBroad_D (Karnataka),0.0038403978603690067,1,1,0.0009062898842150705,0.0,2
Khammam_NSTRoad_I (Telangana),0.003797292728298923,4,3,0.0023409400326782847,0.09523809523809523,7
Rajamundry_AtoNgrRd_I (Andhra Pradesh),0.003796619210610328,3,5,0.0022863067521760776,0.06666666666666667,8
Puttaprthi_Gokulam_D (Andhra Pradesh),0.003757555184671815,2,3,0.002106321311428888,0.0,5
Bellary_Dc (Karnataka),0.0037555346316060297,2,3,0.0010729290548271134,0.16666666666666666,5
Jangaon_Hanmkond_D (Telangana),0.0035676231964880093,1,1,0.0013784904649244926,0.0,2
Ghanpur_Palakrty_D (Telangana),0.0035312532413038764,1,1,0.001365672424954719,0.0,2
Kolhapur_Shivaji_I (Maharashtra),0.0034733307200847017,5,4,0.0015766213288108185,0.14285714285714285,9
FBD_Balabhgarh_DPC (Haryana),0.0034396548356549488,10,12,0.003088883250183197,0.047619047619047616,22
Bhatinda_DPC (Punjab),0.0034356137295233785,3,3,0.001308131014336584,0.0,6
Mumbai Hub (Maharashtra),0.00339587618589627,13,15,0.0034981583026690174,0.14285714285714285,28
Moradabad_DC (Uttar Pradesh),0.0032187410337957707,1,1,0.0005151930617686093,1.0,2
Surat_HUB (Gujarat),0.0032066177154010597,5,8,0.0013818913315571894,0.32142857142857145,13
Hyderabad_Uppal_I (Telangana),0.003040258846318081,4,4,0.0015635986159070196,0.0,8
Vellore_GndhiNgr_IP (Tamil Nadu),0.0030025418557567576,2,4,0.000952197458154192,0.0,6
Chittaurgarh_DC (Rajasthan),0.0030025418557567576,2,2,0.0014190053088303128,0.0,4
Nowda_AmtlaDPP_D (West Bengal),0.0029641513475068396,1,2,0.0012674573806436495,0.0,3
Pondicherry_Vasanthm_I (Pondicherry),0.0029318224984542767,2,1,0.001496506286504265,0.0,3
Nowda_ArhamDPP_D (West Bengal),0.0029277813923227064,1,1,0.001234945352906916,0.0,2
Hassan_Pandrnga_I (Karnataka),0.002918352144682376,4,4,0.0019287573922522252,0.0,8
Nazirpur_Central_D_1 (West Bengal),0.0028914114371385736,1,1,0.0011968050743199805,0.0,2
Domkal_Central_D_2 (West Bengal),0.0028550414819544403,2,1,0.0011507879270732406,0.0,3
Nalgonda_HydRoad_DC (Telangana),0.0027796075008317944,1,1,0.0008630881818699742,0.0,2
Pulivendula_RTCStand_D (Andhra Pradesh),0.002777586947766009,1,2,0.0009808570474254088,0.0,3
Shimoga_DC (Karnataka),0.002773545841634439,1,1,0.0007557727070359169,0.0,2
Kadi_KaranNGR_D (Gujarat),0.0027674841824370834,2,1,0.0009648627269178576,1.0,3
Suryapet_Krishna_D (Telangana),0.002743237545647661,1,1,0.0007594132639167588,0.0,2
Rayachoti_Madnpali_D (Andhra Pradesh),0.002741216992581876,1,1,0.0009015643886002137,0.0,2
Sagara_Vardhard_D (Karnataka),0.0027371758864503056,1,1,0.0006330455896317272,0.0,2
Kadiri_GVManu_D (Andhra Pradesh),0.002704847037397743,1,1,0.0008037499685791011,0.0,2
Sirsi_Vidygiri_D (Karnataka),0.002700805931266173,1,1,0.0004889032805283298,0.0,2
Mainpuri_Agraroad_I (Uttar Pradesh),0.002609207525617245,2,2,0.0008451006594893312,0.0,4
Ranchi_Hub (Jharkhand),0.00260718697255146,4,7,0.0010182472438127154,0.09523809523809523,11
Mysore_Yadvgiri_IP (Karnataka),0.002578899229630468,3,2,0.0019669655840451345,0.0,5
Cuddalore_KtsiGrsm_D (Tamil Nadu),0.0025674494289243516,1,1,0.0014787571299449064,0.0,2
Allahabad_Central_H_1 (Uttar Pradesh),0.00254589686288931,2,4,0.00035501528680028673,0.0,6
Bengaluru_KGAirprt_HB (Karnataka),0.00254589686288931,8,16,0.0016888330148244703,0.39285714285714285,24
Dharmavram_SaiNgr_D (Andhra Pradesh),0.002522997261477078,1,1,0.0007996365980320644,0.0,2
Vadodara_Karelibaug_DPC (Gujarat),0.0024165814666790592,3,4,0.0016872800992680204,0.5,7
Challakere_Shivangr_D (Karnataka),0.002379537993806331,1,1,0.0008556193083668203,0.0,2
Molakalmuru_KnsgraRD_D (Karnataka),0.0023431680386221984,2,1,0.0007513436688499425,0.0,3
Anand_Vaghasi_IP (Gujarat),0.0023411474855564132,5,2,0.00252285674404549,0.2,7
Thrissur_Poothole_D (Kerala),0.002313533260324016,2,2,0.0013226429707011724,0.0,4
Chennai_Chrompet_DPC (Tamil Nadu),0.0022832249643372385,6,4,0.0015154553829123585,0.13333333333333333,10
Silchar_Sirikona_H (Assam),0.0022812044112714533,2,2,0.0016763321492917443,0.0,4
Chidambaram_ARBNorth_DC (Tamil Nadu),0.0022030763593944265,1,1,0.0014744472780528592,0.0,2
Jabalpur_Adhartal_IP (Madhya Pradesh),0.002195667664819881,2,4,0.0013300263833818588,0.0,6
Kolar_Ambedkar_D (Karnataka),0.0021882589702453357,2,1,0.0007211854795514856,0.0,3
Chomu_ShsmlDPP_D (Rajasthan),0.0021862384171795505,1,1,0.00044732762820149936,0.0,2
Hisar_ModelTwn_P (Haryana),0.00218219731104798,1,4,0.0004187947164389188,0.16666666666666666,5
Aligarh_KhirByps_I (Uttar Pradesh),0.002172094545719054,2,1,0.0005207916451158061,0.0,3
Kollam_Central_H_1 (Kerala),0.002010450300456241,2,2,0.0012748121982408466,0.0,4
Kamareddy_Devenply_I (Telangana),0.002010450300456241,1,2,0.0010907304500253332,0.0,3
Thakurdwara_Fathuluh_D (Uttar Pradesh),0.001990244769798389,1,1,0.001128979462381168,0.0,2
Vaijiapur_YeolaRD_D (Maharashtra),0.001990244769798389,1,1,0.001089562868929816,0.0,2
Rajsamand_kankroli_D (Rajasthan),0.0019862036636668187,1,1,0.0009553066187557707,0.0,2
Jalandhar_DPC (Punjab),0.001963977579943182,6,3,0.0034734814955794074,0.2,9
Kanth_Dayanand_D (Uttar Pradesh),0.0019538748146142562,1,1,0.0010702366633379352,0.0,2
Kopargaon_NkshtrPz_D (Maharashtra),0.0019538748146142562,1,1,0.001022697169996404,0.0,2
Bhilwara_DC (Rajasthan),0.001949833708482686,1,1,0.0008680578035638168,0.0,2
Mumbai_Sanpada_I (Maharashtra),0.0019235665186274787,9,6,0.0017069276983797817,0.06666666666666667,15
Haridwar (Uttarakhand),0.0019215459655616935,3,3,0.0018340595054378752,0.16666666666666666,6
Shirdi_SaiBansi_D (Maharashtra),0.0019175048594301232,1,1,0.0009470158216523639,0.0,2
Dhampur_NaginaRD_D (Uttar Pradesh),0.0019175048594301232,1,1,0.001003824867078855,0.0,2
Hospet (Karnataka),0.0018845024926889655,2,2,0.0013227914797888562,0.3333333333333333,4
Shrirampur_DavkharRd_D (Maharashtra),0.0018811349042459902,1,1,0.0008583209268288454,0.0,2
Najibabad_KotdwrRD_D (Uttar Pradesh),0.0018811349042459902,1,1,0.0009246651562337494,0.0,2
Solapur_Central_I_2 (Maharashtra),0.0018488060551934274,4,4,0.001291842409744554,0.3,8
Sangamner_JawanChk_D (Maharashtra),0.0018447649490618571,1,1,0.0007537912195826578,0.0,2
Bijnor_NaginaRd_D (Uttar Pradesh),0.0018447649490618571,1,1,0.0008313920091437615,0.0,2
Nanjangud_RPRoad_D (Karnataka),0.001842070878307477,1,1,0.0011322921738936916,0.0,2
Channaraya_patna_D (Karnataka),0.001842070878307477,1,1,0.0005630951253618786,0.0,2
Sirkazhi_Pngktgudi_D (Tamil Nadu),0.0018387032898645017,1,1,0.0014708531217435597,0.0,2
Mulbagal_Sunku_D (Karnataka),0.0018259064537811955,1,1,0.0008303727774535961,0.0,2
Reengus_Shop2DPP_D (Rajasthan),0.0018252329360926006,1,1,0.0005977585849679793,0.0,2
Chandpur_NorprRD_D (Uttar Pradesh),0.001808394993877724,2,1,0.0007213553706326354,0.0,3
Sinnar_Central_D_1 (Maharashtra),0.001808394993877724,1,1,0.000630908196808337,0.0,2
Narsapur_Xroad_D (Telangana),0.0016097072757421827,1,1,0.0010271064299819898,0.0,2
Gwalior_HrihrNgr_I (Madhya Pradesh),0.0016083602403649928,3,3,0.0007675908863505592,0.0,6
Sagardighi_UtBzrDPP_D (West Bengal),0.0016029720988562323,1,2,0.0008065557981091927,0.0,3
Dehradun (Uttarakhand),0.0015982574750360668,2,2,0.00111866324954661,0.0,4
Ambajogai_BnsllNgr_D (Maharashtra),0.0015935428512159015,1,1,0.0010560602911698965,0.0,2
Jhalda_GMukrDPP_D (West Bengal),0.0015935428512159015,1,1,0.0010939634164150625,0.0,2
Chinnasalem_VkotRoad_D (Tamil Nadu),0.0015935428512159015,1,1,0.0011248794409542148,0.0,2
Plassey_BtaiRoad_D (West Bengal),0.0015888282273957362,1,3,0.000974322756036695,0.0,4
Firozabad_Sudmpuri_D (Uttar Pradesh),0.0015888282273957362,1,1,0.0007717542831819814,0.0,2
Pennadam_EastmnRD_D (Tamil Nadu),0.0015571728960317684,1,1,0.001069786402325448,0.0,2
Parli_JirgeNgr_D (Maharashtra),0.0015571728960317684,1,1,0.0009870836577661848,0.0,2
Purulia_GariDPP_D (West Bengal),0.0015571728960317684,1,1,0.0010299373070403886,0.0,2
Shikohabad_Katrmira_D (Uttar Pradesh),0.0015524582722116031,1,1,0.0006519586961486612,0.0,2
Nakashipara_MaxDPP_D (West Bengal),0.0015524582722116031,1,1,0.0008902600933263048,0.0,2
Hura_Central_D_1 (West Bengal),0.0015208029408476354,2,1,0.0009556716325595627,0.0,3
Virudhchlm_SelamRd_D (Tamil Nadu),0.0015208029408476354,1,1,0.0010010602593828783,0.0,2
Gangakher_Busstand_D (Maharashtra),0.0015208029408476354,1,1,0.0009047862168721995,0.0,2
Del_Okhla_PC (Delhi),0.0015181088700932553,3,9,0.0007921160445466873,0.09523809523809523,12
Chapra_NagarDPP_D (West Bengal),0.00151608831702747,2,1,0.0007914578728420983,0.0,3
Neyveli_NJVNgr_D (Tamil Nadu),0.0014844329856635024,1,1,0.0009233577047008673,0.0,2
Loha_SivjiCWK_D (Maharashtra),0.0014844329856635024,1,1,0.0008088725648096545,0.0,2
Rghunthpur_barkarRd_D (West Bengal),0.0014844329856635024,1,2,0.0008673840490308386,0.0,3
Berhampore_Central_I_2 (West Bengal),0.0014817389149091222,5,3,0.0018604755883999378,0.0,8
Katwa_BSarani_D (West Bengal),0.001479718361843337,1,2,0.0006745875396125574,0.0,3
Nagamangala_MandyaRD_D (Karnataka),0.001477024291088957,1,1,0.0006964602766560533,0.0,2
Gundlupet_Swamylyt_D (Karnataka),0.0014763507734003617,1,1,0.0011841534478011686,0.0,2
Dhanbad_Kalynpur_I (Jharkhand),0.0014750037380231718,6,2,0.0027624017859861406,0.047619047619047616,8
Karaikal_Thalthru_DC (Pondicherry),0.0014743302203345766,1,1,0.0014585989544491894,0.0,2
Chintamani_Central_D_2 (Karnataka),0.0014635539373170558,1,1,0.0009234739333972796,0.0,2
Sikar_FatehpRd_I (Rajasthan),0.0014628804196284606,1,2,0.0007257208768249375,0.0,3
Noida_Sector02_C (Uttar Pradesh),0.0014494100658565595,2,3,0.0005842934724540228,0.3333333333333333,5
Panruti_GandhiRd_D (Tamil Nadu),0.0014480630304793695,1,1,0.0008285489262290682,0.0,2
Mejia_Central_D_1 (West Bengal),0.0014480630304793695,1,1,0.0007638724977827544,0.0,2
Nanded_Aswningr_I (Maharashtra),0.0014480630304793695,2,1,0.0006953397230261628,0.0,3
Medak_Dwaraka_D (Telangana),0.0012089642510281248,1,1,0.0009523437385563833,0.0,2
Adoor_Town_D (Kerala),0.0012062701802737445,1,1,0.0010241056374986094,0.0,2
Jangipur_Central_D_1 (West Bengal),0.0012042496272079593,1,1,0.0006929429614310421,0.0,2
Nasirabad_Central_DPP_2 (Rajasthan),0.0012022290741421741,1,1,0.0006929429614310421,0.0,2
Nanoor_Central_DPP_1 (West Bengal),0.0012022290741421741,1,1,0.0006929429614310421,0.0,2
Kadaba_AnugrDPP_D (Karnataka),0.0012022290741421741,1,1,0.0006929429614310421,0.0,2
Triveninganj_Central_D_1 (Bihar),0.0011961674149448187,1,1,0.001162135375895327,0.0,2
Pithorgarh_Kumud_D (Uttarakhand),0.0011961674149448187,1,1,0.0010280700403801817,0.0,2
